epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,276.479,2.77899,1.66709,0.91104,0.52717,0.37553,0.38658,0.13583,2.57072,1.41633,0.89022,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,438.17,2.74716,1.63759,0.91016,0.51637,0.36266,0.36895,0.12851,2.55796,1.46651,0.88759,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,606.74,2.7505,1.66136,0.91449,0.4826,0.34813,0.34115,0.1151,2.66178,1.51796,0.89992,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,900.494,2.82579,1.70832,0.92681,0.48134,0.36066,0.34564,0.11583,2.6674,1.53662,0.9027,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1227.82,2.79909,1.69519,0.92316,0.48753,0.36352,0.34838,0.11834,2.65878,1.53709,0.90283,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1483.06,2.79093,1.68537,0.91745,0.47498,0.35507,0.33568,0.11022,2.63403,1.66624,0.8967,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1613.57,2.77108,1.67041,0.91605,0.49468,0.35815,0.35362,0.11831,2.59472,1.49244,0.89428,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1738.44,2.78715,1.67696,0.91751,0.48833,0.36703,0.3608,0.12239,2.5937,1.47086,0.89436,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1857.29,2.77074,1.64693,0.91185,0.52339,0.36743,0.37395,0.12848,2.57342,1.43882,0.89566,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1972.8,2.73266,1.62708,0.91309,0.49232,0.36295,0.36146,0.12424,2.60582,1.47135,0.8969,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2084.28,2.74351,1.63188,0.90688,0.49706,0.38542,0.37631,0.12933,2.56832,1.47996,0.88388,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2197.6,2.72461,1.62275,0.90545,0.49754,0.38764,0.38247,0.13536,2.54195,1.45303,0.88271,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2320.2,2.71235,1.60839,0.90402,0.52692,0.38736,0.39032,0.13703,2.5423,1.40812,0.88671,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2441.82,2.71768,1.60804,0.90465,0.54318,0.37748,0.39405,0.14018,2.53906,1.42217,0.88408,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2557.69,2.7161,1.58626,0.89945,0.54119,0.39001,0.40044,0.14177,2.52132,1.40751,0.88342,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2683.19,2.67933,1.57316,0.90262,0.52629,0.38993,0.39647,0.14128,2.5263,1.45889,0.88068,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2812.66,2.66445,1.56689,0.90342,0.52966,0.40024,0.40604,0.14398,2.52892,1.39759,0.87701,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2932.97,2.68381,1.57718,0.90246,0.54283,0.39595,0.40389,0.1448,2.50035,1.37976,0.87597,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3057,2.66386,1.55099,0.89786,0.53561,0.39169,0.40149,0.14466,2.4874,1.38311,0.87556,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3200.44,2.66189,1.54942,0.89384,0.5522,0.40411,0.41787,0.14988,2.49044,1.40609,0.87687,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3342.94,2.66975,1.5538,0.89102,0.52627,0.39029,0.40014,0.14094,2.50743,1.39753,0.87807,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3486.52,2.65279,1.54079,0.88994,0.55115,0.39521,0.41022,0.1475,2.49473,1.36074,0.87718,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3615.54,2.63358,1.52806,0.89307,0.53798,0.40394,0.41227,0.14935,2.47699,1.38555,0.87323,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3733.93,2.63754,1.52656,0.88708,0.55648,0.40769,0.42313,0.15363,2.45887,1.34291,0.87211,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3905.9,2.61773,1.5173,0.89662,0.55026,0.4044,0.41955,0.15165,2.45768,1.37845,0.87137,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4041.4,2.6278,1.51916,0.89095,0.54742,0.40004,0.4188,0.15207,2.46259,1.36928,0.87308,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4178.81,2.621,1.52102,0.88998,0.56401,0.40682,0.42792,0.15699,2.46065,1.3412,0.87211,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4302.87,2.5956,1.49595,0.88676,0.56412,0.40139,0.42117,0.15264,2.44937,1.33858,0.87219,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4424.54,2.61781,1.49871,0.88834,0.57695,0.4127,0.43034,0.15873,2.45022,1.31225,0.871,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4547.02,2.59567,1.48372,0.88772,0.56291,0.40733,0.42921,0.15613,2.43843,1.32469,0.87538,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
