epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,248.133,2.84516,2.04604,0.97195,0.47524,0.33224,0.3188,0.10728,2.69031,1.48577,0.9153,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,446.625,2.90934,1.76368,0.94196,0.44342,0.32386,0.29993,0.09953,2.75205,1.66441,0.92528,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,620.173,2.97542,1.84811,0.95625,0.37211,0.26129,0.21447,0.06529,2.94311,1.82526,0.93882,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,787.018,3.05412,1.91243,0.96808,0.41021,0.30303,0.26071,0.08575,2.84725,2.15893,0.93291,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,958.932,2.95764,1.85276,0.95064,0.47208,0.31742,0.30426,0.10035,2.73217,1.58592,0.92398,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1134.8,2.89493,1.77963,0.93464,0.45896,0.34956,0.32491,0.10751,2.6988,1.57479,0.91117,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1334.49,2.82963,1.724,0.92764,0.46711,0.35063,0.32893,0.10713,2.66435,1.53788,0.91066,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1506.95,2.82033,1.6974,0.92536,0.5009,0.37025,0.36717,0.12588,2.57989,1.48633,0.89755,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1676.92,2.7827,1.6484,0.91622,0.49638,0.37612,0.37035,0.12841,2.57896,1.46291,0.8978,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1843.89,2.72956,1.6122,0.91494,0.52766,0.37476,0.38441,0.1343,2.53759,1.447,0.89015,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2049.14,2.71911,1.59088,0.90561,0.5151,0.38321,0.38394,0.13514,2.54615,1.42932,0.88478,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2296.76,2.67899,1.57091,0.90155,0.55297,0.39573,0.40854,0.1473,2.50499,1.38279,0.88381,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2586.26,2.66805,1.55601,0.90029,0.54191,0.40335,0.41305,0.14949,2.48784,1.37659,0.8825,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2752.64,2.66364,1.54926,0.89784,0.57888,0.40941,0.42668,0.1568,2.46699,1.36517,0.87717,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2919.16,2.64711,1.51313,0.8923,0.57641,0.40669,0.43278,0.16003,2.43887,1.3289,0.87459,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3088.36,2.60593,1.49094,0.89469,0.56367,0.41376,0.42582,0.15593,2.45908,1.34954,0.87253,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3279.09,2.58311,1.48027,0.89312,0.56978,0.39801,0.42224,0.1554,2.44573,1.33397,0.87497,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
