epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,361.201,2.93444,2.14484,0.96855,0.42731,0.33567,0.30085,0.1041,2.72185,1.54432,0.89973,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127
2,604.895,2.99382,1.90524,0.94155,0.43514,0.31555,0.28554,0.09354,2.77591,2.00134,0.91254,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863
3,811.951,3.09672,2.00987,0.9542,0.37546,0.26995,0.2201,0.06431,2.98862,1.84035,0.9402,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998
4,1005.35,3.13248,2.07965,0.96863,0.40819,0.29077,0.26252,0.08544,2.87648,1.72761,0.93085,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1201.26,3.08847,2.02197,0.95048,0.40723,0.29694,0.26113,0.08361,2.85731,1.88915,0.92824,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1414.82,3.00547,1.9245,0.94303,0.45234,0.3119,0.28987,0.09058,2.84607,1.61246,0.9257,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1625.98,2.9745,1.89757,0.93066,0.43093,0.31398,0.28401,0.08972,2.76665,1.63447,0.91759,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1821.92,2.91575,1.82165,0.92804,0.49208,0.33925,0.33793,0.11197,2.68313,1.51652,0.90232,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2027.45,2.86934,1.79183,0.92157,0.51281,0.3555,0.3652,0.12802,2.6035,1.4559,0.89218,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2227.29,2.84426,1.74398,0.91406,0.52509,0.3691,0.37266,0.12683,2.60193,1.46738,0.89005,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2422.43,2.81926,1.71689,0.91059,0.53203,0.36409,0.37193,0.1297,2.5747,1.46965,0.88501,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2628.52,2.78992,1.69659,0.90751,0.51346,0.37834,0.38345,0.13539,2.56663,1.42089,0.88599,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2829.22,2.77726,1.68131,0.90561,0.54377,0.38736,0.39852,0.14427,2.51508,1.39678,0.88353,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3024.29,2.75638,1.66387,0.90305,0.54793,0.38636,0.40378,0.14359,2.53142,1.38729,0.87878,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3223.46,2.72428,1.63547,0.89511,0.55248,0.38908,0.40923,0.14829,2.50726,1.3813,0.87885,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3428.73,2.72881,1.62963,0.89218,0.52682,0.39548,0.4024,0.14021,2.55178,1.39746,0.88523,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3634.87,2.71551,1.61846,0.89659,0.55203,0.39257,0.41258,0.15181,2.46523,1.3709,0.87213,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3839.21,2.69707,1.61839,0.88568,0.57313,0.39724,0.41832,0.1506,2.47513,1.37282,0.87354,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4037.91,2.66706,1.57033,0.89047,0.57728,0.40017,0.42797,0.15747,2.44139,1.34203,0.86663,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4236.3,2.6791,1.56695,0.88065,0.59546,0.40969,0.43717,0.16128,2.43189,1.32954,0.86608,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4438.49,2.66607,1.55648,0.88161,0.58454,0.41568,0.44124,0.16212,2.44494,1.33497,0.86665,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4640.09,2.64436,1.54634,0.88101,0.58166,0.41821,0.44432,0.1645,2.43622,1.31645,0.86763,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4835.72,2.62261,1.5279,0.87936,0.57814,0.41165,0.43694,0.16248,2.41609,1.3227,0.86083,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
